Fecha,Monto,Documento de Identidad,Descripción
2024-11-01,156.78,12345678,"Me comunico para reportar un cargo no autorizado en mi cuenta corriente por $156.78 el día de ayer. No reconozco esta transacción y solicito la investigación inmediata del caso. Según mis registros, no realicé ninguna compra ni autorización para este débito. He revisado mis movimientos y este cargo aparece como ""Compra en línea - Tienda XYZ"" pero jamás he comprado en esa tienda."
2024-10-28,2350.00,87654321,"Solicito formalmente la revisión de una transferencia fallida por $2,350.00 realizada el 28 de octubre hacia la cuenta 1234567890 del Banco Nacional. El dinero fue debitado de mi cuenta pero nunca llegó al destinatario. He contactado al banco receptor y confirman que no recibieron los fondos. Necesito que localicen mi dinero urgentemente ya que era para pagar una cuota de préstamo."
2024-10-15,89.50,23456789,"Estimados señores, escribo para expresar mi inconformidad con el cobro de una comisión por $89.50 aplicada el 15 de octubre en mi cuenta de ahorros. Según mi entendimiento del contrato, esta comisión no debería aplicar ya que mantengo el saldo mínimo requerido. Solicito la explicación detallada de este cargo y su reversión si corresponde."
2024-11-05,450.00,34567890,"URGENTE: Mi tarjeta de crédito fue utilizada fraudulentamente para realizar compras por $450.00 en establecimientos que no frecuento. Inmediatamente bloqueé la tarjeta al notar estas transacciones sospechosas el 5 de noviembre. Solicito la investigación del fraude y el reembolso correspondiente. Tengo las facturas que comprueban que no estuve en esos lugares en las fechas indicadas."
2024-10-20,15.75,45678901,"Me dirijo a ustedes para cuestionar el cobro de $15.75 por concepto de ""mantenimiento de cuenta"" aplicado el 20 de octubre. Tengo entendido que mi tipo de cuenta está exenta de esta comisión según las condiciones pactadas al momento de la apertura. Por favor revisen mi contrato y procedan con la corrección correspondiente si es el caso."
2024-11-03,1250.00,56789012,"Con fecha 3 de noviembre intenté realizar un pago de $1,250.00 através de la banca en línea hacia mi proveedor de servicios médicos. El sistema mostró ""transacción exitosa"" pero el dinero fue debitado de mi cuenta sin que el beneficiario lo recibiera. Han pasado 4 días y el problema persiste. Requiero solución inmediata ya que mi seguro médico está en riesgo de cancelación."
2024-10-31,67.25,67890123,"Buenos días, deseo reportar un error en el cálculo de intereses de mi tarjeta de crédito. En mi estado de cuenta de octubre aparece un cobro por intereses de $67.25, sin embargo, realicé el pago total antes de la fecha de vencimiento. Tengo el comprobante de pago con fecha 25 de octubre, tres días antes del vencimiento. Solicito la corrección y devolución del monto cobrado indebidamente."
2024-11-02,890.00,78901234,"Señores del banco, escribo preocupado por una situación muy grave. El 2 de noviembre aparece en mi estado de cuenta un débito de $890.00 por concepto ""Retiro cajero automático"" en una sucursal de otra ciudad donde jamás he estado. Obviamente no realicé este retiro y sospecho que mi tarjeta fue clonada. Solicito investigación urgente y reposición del dinero."
2024-10-25,234.90,89012345,"Me permito solicitar la revisión de una comisión cobrada el 25 de octubre por $234.90 correspondiente a ""transferencia internacional"". El problema es que nunca solicité ni realicé ninguna transferencia internacional. Esta comisión apareció de la nada en mi cuenta y no encuentro explicación. Necesito que me proporcionen detalles de esta supuesta transacción."
2024-11-04,1875.00,90123456,"Estimados, tengo un problema serio con mi préstamo hipotecario. En mi cuota de noviembre me cobraron $1,875.00 cuando mi cuota mensual acordada es de $1,650.00. Al revisar el detalle, veo que incluyeron seguros que ya había pagado por separado. Esta duplicidad me ha causado sobregiro en mi cuenta corriente. Solicito corrección inmediata y reversión de cargos adicionales."
2024-10-18,45.60,11223344,"Por medio de la presente hago formal reclamo por el cobro indebido de $45.60 en concepto de ""comisión por consulta de saldo"" realizada el 18 de octubre. Según las condiciones de mi cuenta, tengo derecho a consultas ilimitadas sin costo. Este cobro contradice lo acordado contractualmente y solicito su inmediata devolución junto con la explicación correspondiente."
2024-11-06,320.75,22334455,"ATENCIÓN URGENTE: Mi tarjeta de débito presenta fallas técnicas que me han generado cobros duplicados. El 6 de noviembre realicé una compra por $160.37 en un supermercado, pero en mi cuenta aparecen dos cargos por el mismo monto ($320.75 total). El comercio confirma que solo procesaron una transacción. Solicito la corrección inmediata de este error del sistema."
2024-10-22,125.00,33445566,"Buenos días, escribo para reportar una inconsistencia en mi cuenta de ahorros. El 22 de octubre aparece un débito de $125.00 con la descripción ""Ajuste por diferencia cambiaria"" pero no he realizado transacciones en moneda extranjera en los últimos meses. Necesito explicación detallada de este cargo y su justificación, ya que parece ser un error administrativo."
2024-11-01,2100.00,44556677,"Me dirijo urgentemente para reportar que mi transferencia bancaria por $2,100.00 del 1ro de noviembre fue procesada dos veces. Envié el dinero a mi madre para gastos médicos urgentes, pero el sistema debitó $4,200.00 de mi cuenta. Ella solo recibió $2,100.00. Necesito que localicen la segunda transferencia y la reviertan inmediatamente ya que me ha dejado sin fondos para mis gastos básicos."
